Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1245973,-,-,-,40.73,-73.98,-5,11,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI
2007,10,15,7,0,110
2007,10,15,7,30,198
2007,10,15,8,0,286
2007,10,15,8,30,156
2007,10,15,9,0,188
2007,10,15,9,30,514
2007,10,15,10,0,569
2007,10,15,10,30,611
2007,10,15,11,0,639
2007,10,15,11,30,652
2007,10,15,12,0,650
2007,10,15,12,30,633
2007,10,15,13,0,602
2007,10,15,13,30,556
2007,10,15,14,0,499
2007,10,15,14,30,429
2007,10,15,15,0,271
2007,10,15,15,30,205
2007,10,15,16,0,137
2007,10,15,16,30,69
2007,10,15,17,0,14
2007,10,15,17,30,0
2007,10,15,18,0,0
2007,10,15,18,30,0
2007,10,15,19,0,0
2007,10,15,19,30,0
2007,10,15,20,0,0
2007,10,15,20,30,0
2007,10,15,21,0,0
2007,10,15,21,30,0
2007,10,15,22,0,0
2007,10,15,22,30,0
2007,10,15,23,0,0
2007,10,15,23,30,0
2007,10,16,0,0,0
2007,10,16,0,30,0
2007,10,16,1,0,0
2007,10,16,1,30,0
2007,10,16,2,0,0
2007,10,16,2,30,0
2007,10,16,3,0,0
2007,10,16,3,30,0
2007,10,16,4,0,0
2007,10,16,4,30,0
2007,10,16,5,0,0
2007,10,16,5,30,0
2007,10,16,6,0,0
2007,10,16,6,30,27
2007,10,16,7,0,99
2007,10,16,7,30,184
2007,10,16,8,0,274
2007,10,16,8,30,357
2007,10,16,9,0,438
2007,10,16,9,30,505
2007,10,16,10,0,569
2007,10,16,10,30,612
2007,10,16,11,0,641
2007,10,16,11,30,654
2007,10,16,12,0,653
2007,10,16,12,30,635
2007,10,16,13,0,605
2007,10,16,13,30,519
2007,10,16,14,0,464
2007,10,16,14,30,264
2007,10,16,15,0,214
2007,10,16,15,30,220
2007,10,16,16,0,144
2007,10,16,16,30,72
2007,10,16,17,0,14
2007,10,16,17,30,0
2007,10,16,18,0,0
2007,10,16,18,30,0
2007,10,16,19,0,0
2007,10,16,19,30,0
2007,10,16,20,0,0
2007,10,16,20,30,0
2007,10,16,21,0,0
2007,10,16,21,30,0
2007,10,16,22,0,0
2007,10,16,22,30,0
2007,10,16,23,0,0
2007,10,16,23,30,0
2007,10,17,0,0,0
2007,10,17,0,30,0
