,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,GHI_yesterday,GHI_Avg_Week,GHI_Avg_Month
2010-02-24 12:30:00,2010,2,24,12,30,818,116,953,1.6786347627639768,8.392022705078148,42.60038984151515,237.0,340.42857142857144,307.3333333333333
2010-02-24 13:00:00,2010,2,24,13,0,816,116,952,1.464151382446289,8.98162231445315,42.72400751505044,198.0,391.85714285714283,335.6666666666667
2010-02-24 13:30:00,2010,2,24,13,30,796,115,946,1.228761911392212,9.2587829589844,44.021240094910716,439.0,358.14285714285717,334.1666666666667
2010-02-24 14:00:00,2010,2,24,14,0,758,113,935,0.9933724999427797,9.53594360351565,46.39246410380274,319.0,326.85714285714283,314.4
2010-02-24 14:30:00,2010,2,24,14,30,704,110,918,0.8578118085861206,9.46074829101565,49.68185441207246,311.0,299.42857142857144,288.3666666666667
2010-02-24 15:00:00,2010,2,24,15,0,634,105,894,0.7222511172294617,9.385583496093775,53.71778938197684,380.0,277.42857142857144,257.0
2010-02-24 15:30:00,2010,2,24,15,30,551,99,861,0.5774626731872559,8.873559570312525,58.34142757216704,127.0,232.57142857142858,213.63333333333333
2010-02-24 16:00:00,2010,2,24,16,0,456,92,815,0.4326741993427277,8.361505126953148,63.419327243625204,192.0,181.42857142857142,171.83333333333334
2010-02-24 16:30:00,2010,2,24,16,30,353,82,752,0.2986677587032318,7.591729736328148,68.84501860569728,188.0,151.71428571428572,135.23333333333332
2010-02-24 17:00:00,2010,2,24,17,0,245,68,663,0.16466130316257474,6.821923828125023,74.53541358749938,18.0,88.85714285714286,83.43333333333334
2010-02-24 17:30:00,2010,2,24,17,30,139,46,559,0.5984014272689819,6.244500732421898,80.42573811322686,10.0,106.0,66.4
2010-02-24 18:00:00,2010,2,24,18,0,0,0,0,1.0321415662765503,5.667108154296898,86.46434976402041,0.0,0.0,0.0
2010-02-24 18:30:00,2010,2,24,18,30,0,0,0,1.4529287815093994,5.163171386718774,92.6136915344545,0.0,0.0,0.0
2010-02-24 19:00:00,2010,2,24,19,0,0,0,0,1.8737159967422483,4.659204101562524,98.83340313312704,0.0,0.0,0.0
2010-02-24 19:30:00,2010,2,24,19,30,0,0,0,2.219877958297729,4.227777099609399,105.09363722810544,0.0,0.0,0.0
2010-02-24 20:00:00,2010,2,24,20,0,0,0,0,2.566039800643921,3.796319580078148,111.36315819856199,0.0,0.0,0.0
2010-02-24 20:30:00,2010,2,24,20,30,0,0,0,2.852478504180908,3.3869262695312727,117.6083337843492,0.0,0.0,0.0
2010-02-24 21:00:00,2010,2,24,21,0,0,0,0,3.1389172077178955,2.9775024414062727,123.78925017111143,0.0,0.0,0.0
2010-02-24 21:30:00,2010,2,24,21,30,0,0,0,3.3938524723052983,2.6307312011718977,129.85403999642702,0.0,0.0,0.0
2010-02-24 22:00:00,2010,2,24,22,0,0,0,0,3.6487877368927,2.2839599609375227,135.72988065561492,0.0,0.0,0.0
2010-02-24 22:30:00,2010,2,24,22,30,0,0,0,3.842264652252197,2.0032592773437727,141.30813085116282,0.0,0.0,0.0
2010-02-24 23:00:00,2010,2,24,23,0,0,0,0,4.035741329193115,1.7225891113281475,146.42015505868955,0.0,0.0,0.0
2010-02-24 23:30:00,2010,2,24,23,30,0,0,0,4.172501087188722,1.4633422851562727,150.8027070960137,0.0,0.0,0.0
2010-02-25 00:00:00,2010,2,25,0,0,0,0,0,4.309260845184326,1.2041259765625227,154.0692827251051,0.0,0.0,0.0
2010-02-25 00:30:00,2010,2,25,0,30,0,0,0,4.412317276000977,0.9572387695312728,155.75496138379572,0.0,0.0,0.0
2010-02-25 01:00:00,2010,2,25,1,0,0,0,0,4.515373706817627,0.7103515625000227,155.52638984831947,0.0,0.0,0.0
2010-02-25 01:30:00,2010,2,25,1,30,0,0,0,4.594433784484863,0.4812866210937728,153.4331924758559,0.0,0.0,0.0
2010-02-25 02:00:00,2010,2,25,2,0,0,0,0,4.673493385314941,0.25222167968752274,149.86546841706132,0.0,0.0,0.0
2010-02-25 02:30:00,2010,2,25,2,30,0,0,0,4.73798942565918,0.08202514648439774,145.2817710468609,0.0,0.0,0.0
2010-02-25 03:00:00,2010,2,25,3,0,0,0,0,4.802485466003418,-0.08820190429685226,140.03948518923895,0.0,0.0,0.0
2010-02-25 03:30:00,2010,2,25,3,30,0,0,0,4.8555097579956055,-0.10959472656247726,134.37645747343487,0.0,0.0,0.0
2010-02-25 04:00:00,2010,2,25,4,0,0,0,0,4.908534049987793,-0.13101806640622726,128.44456956877565,0.0,0.0,0.0
2010-02-25 04:30:00,2010,2,25,4,30,0,0,0,4.9271559715271,-0.03330078124997726,122.34230712827541,0.0,0.0,0.0
2010-02-25 05:00:00,2010,2,25,5,0,0,0,0,4.945777893066406,0.06444702148439774,116.13646689515691,0.0,0.0,0.0
2010-02-25 05:30:00,2010,2,25,5,30,0,0,0,4.95203971862793,0.09789428710939774,109.87536700223707,0.0,0.0,0.0
2010-02-25 06:00:00,2010,2,25,6,0,0,0,0,4.958301067352295,0.13134155273439774,103.59688604244757,0.0,0.0,0.0
2010-02-25 06:30:00,2010,2,25,6,30,0,0,0,4.982655048370361,0.4591003417968978,97.3336045596807,0.0,0.0,0.0
2010-02-25 07:00:00,2010,2,25,7,0,0,0,0,5.007009029388428,0.7868591308593977,91.11641545612531,0.0,0.0,0.0
2010-02-25 07:30:00,2010,2,25,7,30,54,34,227,5.018726348876953,2.0206542968750227,84.9758691345464,53.0,15.857142857142858,9.366666666666667
2010-02-25 08:00:00,2010,2,25,8,0,125,61,335,5.030443668365479,3.2544799804687727,78.95191419494762,154.0,52.714285714285715,56.2
2010-02-25 08:30:00,2010,2,25,8,30,260,72,645,5.148201942443848,4.941766357421899,73.08467448241096,265.0,102.85714285714286,95.26666666666667
2010-02-25 09:00:00,2010,2,25,9,0,289,135,403,5.265960216522217,6.629022216796898,67.42788464609194,375.0,159.85714285714286,132.63333333333333
2010-02-25 09:30:00,2010,2,25,9,30,368,173,414,5.506649971008301,7.950280761718773,62.04965914915954,478.0,196.14285714285714,159.46666666666667
2010-02-25 10:00:00,2010,2,25,10,0,425,221,375,5.7473392486572275,9.271508789062525,57.03772997456053,572.0,270.42857142857144,203.76666666666668
2010-02-25 10:30:00,2010,2,25,10,30,468,267,329,5.859312057495117,10.3033386230469,52.50457613295315,653.0,299.2857142857143,246.63333333333333
2010-02-25 11:00:00,2010,2,25,11,0,531,289,366,5.971285343170166,11.33513793945315,48.59057278286385,719.0,279.7142857142857,260.6666666666667
2010-02-25 11:30:00,2010,2,25,11,30,563,316,352,5.962800025939941,11.92913208007815,45.460855262971364,769.0,336.57142857142856,311.8666666666667
2010-02-25 12:00:00,2010,2,25,12,0,786,115,922,5.954315185546875,12.523095703125026,43.289520737645645,803.0,333.42857142857144,306.43333333333334
2010-02-25 12:30:00,2010,2,25,12,30,801,115,925,5.898719787597656,12.70757446289065,42.22702161144376,818.0,344.2857142857143,312.23333333333335
2010-02-25 13:00:00,2010,2,25,13,0,798,115,923,5.843123912811278,12.892053222656275,42.35793458403069,816.0,395.7142857142857,340.56666666666666
2010-02-25 13:30:00,2010,2,25,13,30,542,346,270,5.781472682952881,12.781030273437526,43.67134465363795,796.0,361.7142857142857,339.03333333333336
2010-02-25 14:00:00,2010,2,25,14,0,395,329,94,5.719821453094482,12.6700378417969,46.06489592960949,758.0,330.2857142857143,319.2
2010-02-25 14:30:00,2010,2,25,14,30,321,285,54,5.553605079650879,12.529382324218775,49.379413858557434,704.0,302.7142857142857,293.1
2010-02-25 15:00:00,2010,2,25,15,0,197,194,5,5.387388229370117,12.38872680664065,53.44050482978236,634.0,280.57142857142856,261.6
