,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,GHI_yesterday,GHI_Avg_Week,GHI_Avg_Month
2010-02-10 04:00:00,2010,2,10,4,0,0,0,0,1.9660357236862185,-1.5997985839843525,131.60455370423242,0.0,0.0,0.0
2010-02-10 05:00:00,2010,2,10,5,0,0,0,0,1.7928640842437744,-1.6188720703124773,119.12891676468399,0.0,0.0,0.0
2010-02-10 06:00:00,2010,2,10,6,0,0,0,0,1.7385841608047483,-1.6470092773437273,106.5944736975265,0.0,0.0,0.0
2010-02-10 07:00:00,2010,2,10,7,0,0,0,0,1.6620943546295166,-1.3739074707031025,94.25202706287571,0.0,0.0,0.0
2010-02-10 08:00:00,2010,2,10,8,0,47,44,23,1.2673008441925049,-0.5178283691406023,82.34555345745335,98.0,48.28571428571429,40.3
2010-02-10 09:00:00,2010,2,10,9,0,148,128,61,1.062330961227417,1.0718017578125227,71.20038524104727,307.0,104.14285714285714,127.0
2010-02-10 10:00:00,2010,2,10,10,0,195,183,24,0.7936192154884338,2.6216064453125227,61.30160114712646,499.0,175.28571428571428,223.36666666666667
2010-02-10 11:00:00,2010,2,10,11,0,316,270,76,0.7221243381500244,3.9737487792968977,53.39810387589755,645.0,206.7142857142857,312.2
2010-02-10 12:00:00,2010,2,10,12,0,307,280,40,0.5433157086372375,4.821527099609399,48.50842123235821,728.0,255.85714285714286,334.2
2010-02-10 13:00:00,2010,2,10,13,0,275,260,23,0.5159684419631958,4.866418457031274,47.5876797051456,743.0,261.57142857142856,351.06666666666666
2010-02-10 14:00:00,2010,2,10,14,0,146,146,0,0.6959106922149658,5.510858154296899,50.854453557164895,687.0,294.7142857142857,323.1666666666667
2010-02-10 15:00:00,2010,2,10,15,0,135,135,0,0.8911771774291992,5.369683837890649,57.59176691948107,567.0,238.0,270.6666666666667
2010-02-10 16:00:00,2010,2,10,16,0,48,48,0,0.9974395632743835,4.638146972656274,66.73847052670098,395.0,165.71428571428572,168.23333333333332
2010-02-10 17:00:00,2010,2,10,17,0,42,42,0,1.1639946699142456,3.1352172851562727,77.41716363426005,122.0,70.71428571428571,72.4
2010-02-10 18:00:00,2010,2,10,18,0,0,0,0,1.4606263637542725,2.7435546875000227,89.03574491181145,0.0,0.0,0.0
2010-02-10 19:00:00,2010,2,10,19,0,0,0,0,1.7176668643951416,2.2813659667968977,101.22060490851,0.0,0.0,0.0
2010-02-10 20:00:00,2010,2,10,20,0,0,0,0,1.9707344770431519,1.8904357910156482,113.6913061282816,0.0,0.0,0.0
2010-02-10 21:00:00,2010,2,10,21,0,0,0,0,2.2550489902496342,1.3706604003906475,126.21148269399244,0.0,0.0,0.0
2010-02-10 22:00:00,2010,2,10,22,0,0,0,0,2.454326629638672,1.0377746582031475,138.46700225787004,0.0,0.0,0.0
2010-02-10 23:00:00,2010,2,10,23,0,0,0,0,2.456895351409912,0.6822143554687727,149.82125721224725,0.0,0.0,0.0
2010-02-11 00:00:00,2010,2,11,0,0,0,0,0,2.4025585651397705,0.3432556152343977,158.5156818498096,0.0,0.0,0.0
2010-02-11 01:00:00,2010,2,11,1,0,0,0,0,2.3792433738708496,0.29189453125002274,160.42895345128338,0.0,0.0,0.0
2010-02-11 02:00:00,2010,2,11,2,0,0,0,0,2.425301551818848,0.32332763671877274,153.99753250413025,0.0,0.0,0.0
2010-02-11 03:00:00,2010,2,11,3,0,0,0,0,2.4966728687286377,0.19207153320314774,143.4280072782766,0.0,0.0,0.0
2010-02-11 04:00:00,2010,2,11,4,0,0,0,0,2.484062910079956,0.07335815429689774,131.43215705809945,0.0,0.0,0.0
2010-02-11 05:00:00,2010,2,11,5,0,0,0,0,2.4816293716430664,-0.14655151367185226,118.96451950291213,0.0,0.0,0.0
2010-02-11 06:00:00,2010,2,11,6,0,0,0,0,2.521292924880981,-0.4036621093749773,106.42714746422035,0.0,0.0,0.0
